county,fips,year,sex,All,mage_bothsexes,age04,age59,age1014,age1519,age2024,age2529,age3034,age3539,age4044,age4549,age5054,age5559,age6064,age6569,age7074,age7579,age8084,age8589,age9094,age9599,age100104,source
California,1,1970,m,9918901,27.59740252,821086,956756,977762,962860,1016572,746927,628538,590406,590794,597542,517983,439308,354127,271274,196891,130293,76551,28520,8371,1665,4675,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
California,1,1970,w,10119385,,801420,937430,959683,892815,879075,737468,613894,580040,616118,635154,549091,476546,401972,338091,278361,205083,130718,58282,18883,4424,4837,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Alameda County,6001,1970,m,531922,27.33266517,41998,48658,48542,48219,67068,45247,33958,29936,29749,31462,27660,23282,18888,13710,9863,6657,4358,1756,518,105,288,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Alameda County,6001,1970,w,541063,,41006,47576,47486,45828,56011,42480,32363,29013,31763,33512,29332,25638,21118,17587,15070,11660,8001,3784,1229,292,314,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Alpine County,6003,1970,m,258,31.9,19,27,24,21,12,19,23,17,8,20,23,15,13,7,5,4,0,1,0,0,0,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Alpine County,6003,1970,w,248,,11,26,30,19,10,19,21,10,19,11,21,22,7,6,8,2,2,4,0,0,0,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Amador County,6005,1970,m,6302,33.06140351,378,452,499,1130,458,313,285,266,313,357,373,368,343,313,205,134,69,31,9,1,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Amador County,6005,1970,w,5598,,343,467,503,436,284,323,299,244,311,408,371,435,367,268,213,138,106,57,17,4,4,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Butte County,6007,1970,m,49471,29.95108184,3309,4445,4692,5289,4740,2933,2457,2260,2477,2548,2701,2598,2498,2339,1788,1255,759,253,75,13,42,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Butte County,6007,1970,w,53059,,3341,4356,4508,5171,5126,3407,2529,2470,2650,3098,2983,2907,2739,2472,2074,1574,972,464,146,34,38,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Calaveras County,6009,1970,m,7098,37.45806452,405,527,738,651,412,372,384,355,413,428,412,465,458,443,295,195,90,38,10,1,6,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Calaveras County,6009,1970,w,6618,,409,535,578,484,345,353,334,366,394,424,460,466,517,356,234,172,105,59,18,4,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Colusa County,6011,1970,m,6236,30.4057971,455,572,702,576,446,353,318,345,369,345,410,368,299,274,160,136,66,28,8,1,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Colusa County,6011,1970,w,6136,,465,594,623,578,392,374,344,334,343,379,385,325,269,229,186,134,117,45,14,3,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Contra Costa County,6013,1970,m,275462,27.43056567,22707,28976,30337,27313,22635,18667,17168,16785,17794,18912,16037,12973,9261,6213,4290,2864,1604,612,180,34,100,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Contra Costa County,6013,1970,w,282022,,22617,28377,30183,26069,20544,19715,17783,17295,18897,20029,16365,12765,9626,7369,5801,4234,2637,1158,375,88,95,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Del Norte County,6015,1970,m,7245,29.17647059,552,751,812,677,494,387,395,402,446,451,437,398,338,321,177,126,52,19,6,0,4,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Del Norte County,6015,1970,w,7345,,608,736,882,645,455,450,440,445,415,448,425,390,333,263,176,119,63,35,12,2,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
El Dorado County,6017,1970,m,21972,31.32109228,1487,2053,2303,1965,1616,1351,1329,1346,1409,1384,1352,1213,1107,839,645,329,173,46,13,4,8,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
El Dorado County,6017,1970,w,22137,,1374,2022,2346,1953,1480,1371,1409,1360,1434,1525,1374,1252,1080,857,606,350,209,93,28,7,7,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Fresno County,6019,1970,m,202187,25.90134753,17822,21370,22324,21930,18060,12986,10968,10610,11264,11703,10440,9154,7454,5829,4208,3010,1935,737,218,44,121,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Fresno County,6019,1970,w,211643,,17155,21107,21761,21151,18817,14046,11667,11669,12637,12569,10959,9458,8096,6630,5420,4096,2643,1190,385,89,98,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Glenn County,6021,1970,m,8718,31.72375691,618,824,947,874,586,478,436,468,527,501,508,528,429,380,256,199,104,36,11,2,6,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Glenn County,6021,1970,w,8792,,593,806,915,800,486,512,453,492,520,538,524,534,450,384,307,241,146,61,20,5,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Humboldt County,6023,1970,m,50091,26.79312813,3709,4969,5279,5472,4533,3354,2955,2700,2926,2905,2703,2512,2040,1623,1064,693,401,166,49,10,28,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Humboldt County,6023,1970,w,50069,,3818,4613,5070,5181,4835,3576,2843,2683,2795,2949,2821,2303,2060,1465,1177,874,609,269,86,20,22,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Imperial County,6025,1970,m,37032,23.6237721,3562,4508,4694,3905,2498,1983,1995,1983,2105,1952,1716,1587,1677,1202,790,488,252,92,26,3,14,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Imperial County,6025,1970,w,37404,,3600,4455,4645,3910,2675,2279,2167,2160,2286,2102,1784,1546,1297,993,652,413,266,121,36,7,10,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Inyo County,6027,1970,m,7875,33.96153846,546,698,798,615,473,475,443,477,556,468,473,539,462,340,249,144,84,25,7,0,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Inyo County,6027,1970,w,7690,,548,676,786,602,425,421,438,437,474,503,535,486,429,351,247,176,81,52,16,3,4,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Kern County,6029,1970,m,164680,26.38330791,14360,17734,18282,16700,13916,10999,9911,9442,9610,9342,8447,7794,6360,4871,3275,1926,1115,394,116,22,64,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Kern County,6029,1970,w,166412,,13903,17531,18260,16001,12471,11459,10036,9618,9985,10057,8909,7871,6420,5083,3683,2548,1642,631,204,47,53,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Kings County,6031,1970,m,35319,22.87861125,3279,3772,3571,3432,6135,2550,2233,1725,1589,1555,1264,1220,962,726,525,376,216,128,34,6,21,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Kings County,6031,1970,w,31408,,3070,3759,3454,2846,2716,2485,2081,1831,1682,1575,1365,1199,1019,787,593,472,306,115,36,7,10,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Lake County,6033,1970,m,9555,46.75316456,531,666,824,692,376,384,361,383,438,531,610,666,814,893,656,391,235,69,21,3,11,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Lake County,6033,1970,w,10194,,476,714,807,671,367,405,413,446,512,609,716,856,978,813,641,387,221,109,36,8,9,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Lassen County,6035,1970,m,9287,30.20472441,590,693,820,795,967,806,668,673,589,622,517,473,386,254,192,129,67,31,9,1,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Lassen County,6035,1970,w,7633,,612,679,791,723,508,424,392,454,539,543,470,428,346,255,206,117,83,43,14,3,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Los Angeles County,6037,1970,m,3435456,28.73884997,290858,320810,324747,309027,324994,273332,224988,208690,214140,216732,191526,164590,128096,92815,65598,43498,26017,9871,2911,598,1618,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Los Angeles County,6037,1970,w,3620337,,285067,315097,320369,305450,313877,266640,216431,204504,222362,234092,208733,182114,150311,126341,105148,78564,51194,22914,7456,1768,1905,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Madera County,6039,1970,m,20803,28.20305677,1783,2139,2357,2106,1524,1185,996,1041,1110,1210,1120,1082,1031,796,550,393,240,95,26,3,16,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Madera County,6039,1970,w,20885,,1698,2058,2244,1955,1389,1203,1086,1197,1159,1282,1127,1184,970,791,591,500,280,117,36,8,10,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Marin County,6041,1970,m,103212,29.68822394,7670,9802,10062,8572,8440,8696,8074,7575,7332,6958,5977,4664,3559,2239,1612,1027,599,235,68,14,37,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Marin County,6041,1970,w,103756,,7548,9503,9725,8341,7758,8336,7354,6924,7245,7340,5935,4873,3755,2940,2338,1739,1228,591,191,44,48,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Mariposa County,6043,1970,m,3127,36.23846154,154,270,255,326,230,159,175,140,176,174,171,207,192,177,158,74,54,23,7,1,4,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Mariposa County,6043,1970,w,2928,,183,235,263,210,192,159,142,153,147,192,180,208,193,190,119,76,51,24,7,1,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Mendocino County,6045,1970,m,25738,31.02725724,1909,2470,2717,2300,1707,1594,1450,1329,1600,1706,1488,1475,1291,1051,719,494,286,102,28,6,16,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Mendocino County,6045,1970,w,25524,,1888,2238,2635,2166,1751,1633,1436,1376,1568,1572,1581,1528,1246,1032,758,538,334,167,52,12,13,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Merced County,6047,1970,m,52959,24.33561644,4722,5841,6146,5426,5510,3376,2898,3133,2829,2910,2498,2235,1834,1432,963,622,357,152,43,7,25,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Merced County,6047,1970,w,52014,,4672,5802,6080,5131,4175,3269,3112,3142,3046,3000,2520,2188,1781,1461,1072,777,491,201,64,13,17,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Modoc County,6049,1970,m,3697,33.40322581,245,335,350,343,217,215,202,176,235,251,228,256,210,176,116,79,35,20,5,0,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Modoc County,6049,1970,w,3780,,251,325,402,351,218,209,208,210,224,295,234,213,185,160,125,85,60,18,6,0,1,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Mono County,6051,1970,m,2130,29.48039216,146,179,192,187,184,185,140,152,156,130,126,119,94,74,41,16,6,3,0,0,0,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Mono County,6051,1970,w,1933,,138,166,185,173,188,135,137,120,130,123,104,112,105,60,29,18,6,4,0,0,0,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Monterey County,6053,1970,m,136075,23.25395018,10583,11475,11659,19297,27178,9922,6977,6261,6072,5810,5223,4526,3893,2955,1979,1253,626,256,74,14,42,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Monterey County,6053,1970,w,111745,,10241,11162,11301,10463,10446,8218,6754,6512,6661,6403,5357,4606,3937,3100,2653,1890,1264,524,169,40,44,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Napa County,6055,1970,m,39282,31.77406569,2701,3494,3743,3572,3159,2574,2059,2057,2140,2475,2308,2127,1864,1502,1442,1081,661,214,62,12,35,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Napa County,6055,1970,w,40089,,2793,3373,3728,3315,3190,2512,2101,2130,2358,2590,2448,2143,1979,1647,1487,1094,689,347,112,24,29,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Nevada County,6057,1970,m,12944,37.66287879,781,1130,1240,1232,778,638,605,609,639,776,837,812,815,778,598,347,223,70,21,4,11,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Nevada County,6057,1970,w,13592,,804,1058,1176,1079,689,680,668,659,726,840,922,961,957,815,628,456,280,131,42,10,11,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Orange County,6059,1970,m,706040,26.07041114,63412,76934,78909,67414,64730,53411,48378,48184,47255,45559,33986,23754,16830,13113,10448,7147,4307,1494,440,89,246,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Orange County,6059,1970,w,725838,,61264,75594,78080,66424,60052,54829,49104,47289,48132,45670,33685,25304,20842,18948,16693,11996,7417,3045,986,233,251,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Placer County,6061,1970,m,38991,30.50609013,2701,3634,4223,4206,2745,2247,2189,2278,2518,2612,2333,1983,1703,1421,980,629,393,133,35,7,21,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Placer County,6061,1970,w,38984,,2659,3544,4114,3669,2536,2294,2273,2433,2515,2690,2160,2076,1807,1476,1095,818,522,205,66,15,17,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Plumas County,6063,1970,m,5990,34.71370968,371,526,603,573,349,303,312,308,414,397,426,424,350,280,180,96,62,11,3,0,2,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Plumas County,6063,1970,w,5715,,385,528,590,457,288,308,295,330,438,419,395,362,343,224,131,122,65,24,7,1,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Riverside County,6065,1970,m,226815,29.06202058,19007,22715,23741,20384,19476,14965,13067,12412,11920,11997,10914,9784,9445,9668,8045,5219,2655,922,274,54,151,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Riverside County,6065,1970,w,234782,,18294,22372,22745,20195,17335,14583,12962,12198,12625,13123,11866,11615,11980,11702,9378,6101,3411,1547,503,117,130,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Sacramento County,6067,1970,m,312167,26.77548394,25449,32939,35431,31903,27006,19959,18874,19217,19605,20552,17688,13919,10587,7524,5266,3366,1900,648,190,38,106,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Sacramento County,6067,1970,w,324520,,24731,31863,34306,31603,27253,22365,20305,19729,21192,21729,17622,14501,11447,8940,7166,5140,2909,1160,375,87,97,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Benito County,6069,1970,m,9126,26.36326531,851,963,980,951,725,581,501,462,477,494,469,433,403,336,195,164,87,37,10,1,6,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Benito County,6069,1970,w,9240,,899,955,940,901,688,595,451,497,536,525,448,440,352,341,228,196,156,65,19,3,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Bernardino County,6071,1970,m,340621,26.4039835,29487,35308,36895,33401,34815,23557,19998,19441,18746,18347,16662,14155,11734,10319,7895,5238,3006,1064,316,63,174,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Bernardino County,6071,1970,w,344673,,28672,35050,35991,31388,27810,23240,20164,19374,19457,20001,17405,15598,13973,12262,10009,7163,4291,1904,617,146,158,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Diego County,6073,1970,m,721294,24.774424,54843,62702,63104,94901,119136,51174,41438,39241,36747,36271,30847,24617,20357,17181,12991,8436,4704,1715,504,103,282,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Diego County,6073,1970,w,645864,,53239,61871,61814,56732,60289,45921,39449,37438,37953,39376,33042,28611,24546,21493,17813,12602,8183,3700,1201,284,307,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Francisco,6075,1970,m,347730,33.0355641,21889,22608,22772,25940,41470,31490,23908,20615,20236,21083,18751,19139,18422,14993,11165,7182,3906,1424,418,86,233,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Francisco,6075,1970,w,365456,,20989,21952,22581,25269,39347,31038,21483,18628,20731,22362,21954,22232,21397,18470,15209,10973,6587,2866,932,219,237,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Joaquin County,6077,1970,m,147161,28.38140162,11816,14076,14834,14968,12020,9682,8052,7774,8543,9009,8115,7747,6636,5267,3720,2467,1557,581,168,34,95,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Joaquin County,6077,1970,w,144955,,11640,13555,14219,13849,11628,9345,7870,7746,8972,9426,8265,7238,5904,4919,4022,3098,1985,857,281,63,73,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Luis Obispo County,6079,1970,m,53621,28.40337171,3551,4152,4529,6717,5480,3516,3039,2720,2811,3087,2920,2677,2464,2255,1626,1101,663,207,61,11,34,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Luis Obispo County,6079,1970,w,52970,,3316,4092,4517,6348,5788,3248,2437,2458,2634,2878,2783,2723,2681,2405,1821,1411,876,375,119,29,31,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Mateo County,6081,1970,m,274043,28.80789882,21269,25202,25966,25165,26121,22083,18290,16496,17429,18838,16743,13683,10433,6593,4367,2841,1605,608,178,34,99,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
San Mateo County,6081,1970,w,283047,,20804,24793,25718,24310,24610,22028,17617,16237,18691,20418,17337,14523,11246,8255,6529,4831,3067,1371,447,102,113,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Santa Barbara County,6083,1970,m,131960,25.79277477,10165,12528,12989,13687,17424,9876,8065,8003,7267,7205,5952,5021,4204,3529,2608,1790,1017,415,123,24,68,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Santa Barbara County,6083,1970,w,133835,,10072,12249,12613,13680,14122,9219,8030,7417,7658,7515,6410,5616,5105,4411,3745,2904,1823,839,272,64,71,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Santa Clara County,6085,1970,m,529105,25.57237859,49167,58657,56976,50674,49140,43668,38773,35205,32561,31793,25202,18622,13699,9278,6638,4532,2889,1075,315,65,176,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Santa Clara County,6085,1970,w,543480,,48050,57312,56133,49771,50041,45577,37359,33825,33771,32809,25507,19742,15360,11947,10054,7742,4951,2377,772,183,197,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Santa Cruz County,6087,1970,m,59417,32.13956311,4249,5158,5413,5769,5784,3746,3087,2946,3021,3207,3016,2847,2767,2685,2319,1698,1060,424,126,24,71,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Santa Cruz County,6087,1970,w,65066,,4218,5044,5311,5724,5233,3849,3132,3203,3442,3645,3441,3563,3373,3438,3207,2507,1659,726,236,54,61,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Shasta County,6089,1970,m,38755,28.48300721,3100,4050,4422,3947,2559,2408,2342,2184,2338,2326,2111,2051,1661,1355,908,561,285,98,28,5,16,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Shasta County,6089,1970,w,39213,,2985,3900,4064,3762,2601,2698,2427,2367,2462,2448,2147,2074,1691,1326,922,641,434,181,56,13,14,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Sierra County,6091,1970,m,1252,38.95238095,78,105,121,93,42,54,64,74,75,83,72,131,88,73,53,33,10,3,0,0,0,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Sierra County,6091,1970,w,1166,,72,110,117,88,57,45,62,73,72,74,90,105,73,62,35,20,6,5,0,0,0,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Siskiyou County,6093,1970,m,16877,31.71269841,1210,1483,1710,1600,1224,956,952,910,1021,1079,1049,1028,893,656,505,309,188,70,20,3,11,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Siskiyou County,6093,1970,w,16324,,1209,1470,1600,1554,1033,939,860,931,1036,1114,1006,895,782,666,560,325,204,96,29,7,8,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Solano County,6095,1970,m,90659,24.57074155,7598,8790,8414,8449,14618,7317,5494,5293,4689,4726,4274,3318,2674,1921,1465,910,481,150,44,8,26,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Solano County,6095,1970,w,81814,,7288,8405,8522,7604,7932,5944,5032,4691,4830,5014,4087,3316,2820,2222,1709,1227,724,301,99,21,26,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Sonoma County,6097,1970,m,100123,29.49149586,8038,9922,10331,9504,8242,6286,5753,5168,5295,5724,5241,4644,4481,4158,3169,2244,1235,454,134,26,74,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Sonoma County,6097,1970,w,106365,,7739,9770,10028,9510,8164,6876,5733,5369,5843,6173,5776,5451,5294,4801,3869,2924,1813,835,267,62,68,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Stanislaus County,6099,1970,m,95829,27.56263084,8560,9870,10283,9562,7710,6313,5369,5095,5374,5598,4843,4735,3888,3097,2326,1599,1013,394,115,21,64,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Stanislaus County,6099,1970,w,99954,,8113,9426,9930,9297,8060,6810,5536,5507,5770,5913,5461,4905,4184,3494,2971,2232,1454,604,193,44,50,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Sutter County,6101,1970,m,20979,26.84717608,1780,2197,2317,2070,1689,1381,1331,1298,1214,1208,1069,1008,855,599,394,258,196,76,21,4,14,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Sutter County,6101,1970,w,21083,,1714,2234,2234,2061,1618,1463,1304,1248,1258,1238,1083,977,824,575,484,379,226,109,36,8,10,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Tehama County,6103,1970,m,14764,29.47645429,1157,1516,1652,1374,1017,907,842,845,863,831,769,752,661,593,463,273,133,77,21,5,13,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Tehama County,6103,1970,w,14802,,1155,1444,1538,1342,906,964,838,891,834,834,836,767,673,612,474,346,208,94,31,7,8,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Trinity County,6105,1970,m,3957,31.84782609,288,386,437,356,188,224,230,233,208,250,262,239,249,171,117,63,38,12,3,0,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Trinity County,6105,1970,w,3605,,241,340,435,278,200,227,224,202,203,261,242,212,191,155,73,59,34,21,6,0,1,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Tulare County,6107,1970,m,94176,26.41656734,8380,9981,10748,9760,7642,5938,5054,4840,4775,5079,4601,4544,4242,3397,2331,1439,930,328,96,18,53,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Tulare County,6107,1970,w,95221,,8260,9733,10232,9347,7037,6017,5279,4988,5350,5423,4975,4680,4153,3216,2521,2007,1221,528,171,39,44,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Tuolumne County,6109,1970,m,11800,34.29180887,741,947,1105,942,903,836,799,716,718,780,681,668,616,579,370,227,110,42,11,2,7,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Tuolumne County,6109,1970,w,10501,,699,841,933,867,540,599,606,567,696,725,688,703,642,489,402,240,142,84,26,5,7,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Ventura County,6111,1970,m,190295,24.82844018,18099,22684,22219,18691,16156,13349,13227,12801,12115,11157,8414,6448,4933,3871,2786,1817,988,356,104,22,58,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Ventura County,6111,1970,w,191059,,17786,22016,21726,17917,14242,14335,13095,12276,12077,10711,8399,6722,5607,4920,3772,2684,1659,754,243,55,63,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Yolo County,6113,1970,m,46182,24.20690909,3732,4438,4465,5160,5865,3607,2738,2618,2428,2644,2106,1868,1490,1206,795,501,311,137,42,7,24,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Yolo County,6113,1970,w,46473,,3602,4388,4430,5331,6007,3411,2827,2481,2535,2638,2152,1831,1478,1104,851,671,431,209,64,15,17,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Yuba County,6115,1970,m,23039,23.6539604,2219,2645,2517,2055,2950,1560,1521,1693,1120,988,882,823,694,584,347,213,138,62,16,2,10,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Yuba County,6115,1970,w,21326,,2093,2533,2486,1835,1838,1608,1699,1393,1123,994,889,753,634,513,376,280,174,72,22,5,6,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
